Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
 Ada Boost Classifier Classifier (All Features),0.8919648524278007,0.8301309523613639,0.8919648524278007,0.8480482537101165,428.2540099620819,4.086964130401611,432.3409740924835
 Ada Boost Classifier Classifier (All Ensemble Features),0.8919648524278007,0.8301309523613639,0.8919648524278007,0.8480482537101165,429.37434220314026,4.096106290817261,433.4704484939575
 Ada Boost Classifier Classifier (Ensemble Top 5 Features),0.8799190733100603,0.8042509867037784,0.8799190733100603,0.8335200169528267,66.26545190811157,2.0914666652679443,68.35691857337952
 Ada Boost Classifier Classifier (Ensemble Top 10 Features),0.8845168200571247,0.8080359126793499,0.8845168200571247,0.837379203119545,114.002858877182,2.2304842472076416,116.23334312438965
 Ada Boost Classifier Classifier (SHAP Top 5 Features),0.8565118216439226,0.7944054238025297,0.8565118216439226,0.8047582598668191,45.9774272441864,2.1286864280700684,48.10611367225647
 Ada Boost Classifier Classifier (SHAP Top 10 Features),0.8839138368771818,0.8398965664794494,0.8839138368771818,0.8556271446388497,96.3026819229126,2.2489795684814453,98.55166149139404
 Ada Boost Classifier Classifier (LOCO Top 5 Features),0.8755752142177087,0.8236534408769381,0.8755752142177087,0.8392918529502625,49.53224182128906,2.0762672424316406,51.6085090637207
 Ada Boost Classifier Classifier (LOCO Top 10 Features),0.8803356077435734,0.8095718170868776,0.8803356077435734,0.8378381827108881,94.75204253196716,2.2420918941497803,96.99413442611694
 Ada Boost Classifier Classifier (PFI Top 5 Features),0.9323329895271343,0.8864504518216753,0.9323329895271343,0.9082578242586158,44.927024841308594,2.0906364917755127,47.017661333084106
 Ada Boost Classifier Classifier (PFI Top 10 Features),0.9050499841320215,0.9013256110483029,0.9050499841320215,0.8906497985433663,86.80618906021118,2.245417833328247,89.05160689353943
 Ada Boost Classifier Classifier (Dalex Top 5 Features),0.8816090130117423,0.792715039127188,0.8816090130117423,0.8344027802536674,66.71125936508179,2.114412307739258,68.82567167282104
 Ada Boost Classifier Classifier (Dalex Top 10 Features),0.8861472548397334,0.8138220932730054,0.8861472548397334,0.8422466566103879,106.4177188873291,2.253840446472168,108.67155933380127
 Ada Boost Classifier Classifier (ProfWeight Top 5 Features),0.8772651539193906,0.7886730951549007,0.8772651539193906,0.8303756152195685,75.2378261089325,2.0977795124053955,77.33560562133789
 Ada Boost Classifier Classifier (ProfWeight Top 10 Features),0.8792010472865757,0.7904872222568796,0.8792010472865757,0.8323985877984396,102.70276498794556,2.2447924613952637,104.94755744934082
