Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
KNN KNeighbors Classifier (All Features),0.9917407172326246,0.9917850408387534,0.9917407172326246,0.991731160488654,1.142625331878662,499.43695974349976,500.5795850753784
KNN KNeighbors Classifier (All Ensemble Features),0.9917407172326246,0.9917850408387534,0.9917407172326246,0.991731160488654,1.1261820793151855,498.99211740493774,500.11829948425293
KNN KNeighbors Classifier (Ensemble Top 5 Features),0.9448290225325293,0.9391646474296877,0.9448290225325293,0.9416241724340544,3.3716354370117188,40.95050573348999,44.32214117050171
KNN KNeighbors Classifier (Ensemble Top 10 Features),0.9883152173913043,0.9884427414484256,0.9883152173913043,0.98833934664742,5.604531288146973,47.25427007675171,52.85880136489868
KNN KNeighbors Classifier (SHAP Top 5 Features),0.9861690733100603,0.9857002255240515,0.9861690733100603,0.9858883176122839,2.9219980239868164,410.78111720085144,413.70311522483826
KNN KNeighbors Classifier (SHAP Top 10 Features),0.9760829895271342,0.9762590784132891,0.9760829895271342,0.9761143743159091,5.1093645095825195,127.2720079421997,132.38137245178223
KNN KNeighbors Classifier (LOCO Top 5 Features),0.9922187400825135,0.9925838162761157,0.9922187400825135,0.9923347356460399,3.315908193588257,404.17715406417847,407.4930622577667
KNN KNeighbors Classifier (LOCO Top 10 Features),0.994438273563948,0.9944303158891722,0.994438273563948,0.9944278046976411,5.571147441864014,120.43194556236267,126.00309300422668
KNN KNeighbors Classifier (PFI Top 5 Features),0.9941129800063472,0.9942476836066025,0.9941129800063472,0.9935711417918066,3.280463695526123,181.96105527877808,185.2415189743042
KNN KNeighbors Classifier (PFI Top 10 Features),0.9885631545541098,0.9886062401215586,0.9885631545541098,0.9882920876814734,5.65290641784668,58.23190760612488,63.88481402397156
KNN KNeighbors Classifier (Dalex Top 5 Features),0.9722032688035545,0.971901950714399,0.9722032688035545,0.9693020838205987,3.056231737136841,282.2804503440857,285.33668208122253
KNN KNeighbors Classifier (Dalex Top 10 Features),0.9916554268486195,0.991537657992783,0.9916554268486195,0.9915547752442839,5.32577919960022,43.2288703918457,48.55464959144592
KNN KNeighbors Classifier (ProfWeight Top 5 Features),0.9455668835290384,0.9381763367654706,0.9455668835290384,0.9412629020070356,3.3452301025390625,37.063557624816895,40.40878772735596
KNN KNeighbors Classifier (ProfWeight Top 10 Features),0.9499186766105998,0.9426176553205348,0.9499186766105998,0.9456697559511866,5.566937208175659,60.561403036117554,66.12834024429321
