Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Logistic Regression (All Features),0.8806966042526182,0.8551550290285338,0.8806966042526182,0.8650907434187692,88.14279079437256,0.12399768829345703,88.26678848266602
Logistic Regression (All Ensemble Features),0.8843085528403681,0.8557051645505107,0.8843085528403681,0.8675230270743761,88.93355917930603,0.12457942962646484,89.0581386089325
Logistic Regression (Ensemble Top 5 Features),0.5661873214852428,0.7698190257112754,0.5661873214852428,0.620794905507162,60.81551456451416,0.046572208404541016,60.8620867729187
Logistic Regression (Ensemble Top 10 Features),0.826654236750238,0.8172850537170231,0.826654236750238,0.7959862315357581,75.36183071136475,0.05148935317993164,75.41332006454468
Logistic Regression (SHAP Top 5 Features),0.8311845445890194,0.6942745892809344,0.8311845445890194,0.7557466760564966,70.96905446052551,0.043560028076171875,71.01261448860168
Logistic Regression (SHAP Top 10 Features),0.7200035702951444,0.6731975945207669,0.7200035702951444,0.6958143358042639,69.05443835258484,0.0515294075012207,69.10596776008606
Logistic Regression (LOCO Top 5 Features),0.8190792605522057,0.68903329509933,0.8190792605522057,0.7484492848108253,96.00540685653687,0.043817996978759766,96.04922485351562
Logistic Regression (LOCO Top 10 Features),0.7136345604569978,0.7728834789370328,0.7136345604569978,0.7357075239654097,70.20482039451599,0.05245494842529297,70.25727534294128
Logistic Regression (PFI Top 5 Features),0.9184901618533798,0.8770127416503923,0.9184901618533798,0.8945113675293483,72.33388614654541,0.046576738357543945,72.38046288490295
Logistic Regression (PFI Top 10 Features),0.8947992700729926,0.8526738440132101,0.8947992700729926,0.8672853635599862,127.95054149627686,0.05131101608276367,128.00185251235962
Logistic Regression (Dalex Top 5 Features),0.5534056648682958,0.7716575387979951,0.5534056648682958,0.6159329449205087,55.8364143371582,0.04672694206237793,55.88314127922058
Logistic Regression (Dalex Top 10 Features),0.696955331640749,0.7891883216056678,0.696955331640749,0.7281998126496709,65.24704170227051,0.05220437049865723,65.29924607276917
Logistic Regression (ProfWeight Top 5 Features),0.7046235322119961,0.7623146943425936,0.7046235322119961,0.7167019692015667,58.71928405761719,0.04473447799682617,58.764018535614014
Logistic Regression (ProfWeight Top 10 Features),0.8706343224373215,0.8316208435216155,0.8706343224373215,0.8348497060755694,72.86139917373657,0.053377628326416016,72.91477680206299
