Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s),Total Time (s)
Random Forest Classifier (All Features),0.9982148524278007,0.9981692989854571,0.9982148524278007,0.998184873720636,822.799783706665,7.230603933334351,830.0303876399994
Random Forest Classifier (All Ensemble Features),0.9981930339574738,0.998141905545475,0.9981930339574738,0.998158364290556,838.5264663696289,7.163057804107666,845.6895241737366
Random Forest Classifier (Ensemble Top 5 Features),0.954068152967312,0.9435391984742957,0.954068152967312,0.9445664542011635,360.54032826423645,6.315803050994873,366.8561313152313
Random Forest Classifier (Ensemble Top 10 Features),0.9972112027927642,0.9971662226484925,0.9972112027927642,0.9971813645039845,385.6871511936188,4.019211769104004,389.7063629627228
Random Forest Classifier (SHAP Top 5 Features),0.9886781973976515,0.9881971823296412,0.9886781973976515,0.9883031037008758,136.1172149181366,3.6660895347595215,139.78330445289612
Random Forest Classifier (SHAP Top 10 Features),0.9982961758172009,0.9982602985765481,0.9982961758172009,0.9982685579389231,295.8143334388733,3.4144153594970703,299.22874879837036
Random Forest Classifier (LOCO Top 5 Features),0.9946822437321485,0.9946062294552943,0.9946822437321485,0.9946254241509849,158.64168620109558,3.5561745166778564,162.19786071777344
Random Forest Classifier (LOCO Top 10 Features),0.9983814662012059,0.9983467978224576,0.9983814662012059,0.998356151201105,288.7287561893463,3.446502923965454,292.17525911331177
Random Forest Classifier (PFI Top 5 Features),0.9950452237384957,0.9950202406706014,0.9950452237384957,0.9944245899657557,138.30678129196167,3.2697997093200684,141.57658100128174
Random Forest Classifier (PFI Top 10 Features),0.9964832592827674,0.9966039169334817,0.9964832592827674,0.9964384984662668,311.5671982765198,3.559861183166504,315.1270594596863
Random Forest Classifier (Dalex Top 5 Features),0.9742661059980958,0.9740713422675131,0.9742661059980958,0.9714013687336591,295.24354457855225,4.721020936965942,299.9645655155182
Random Forest Classifier (Dalex Top 10 Features),0.9967788003808314,0.9967008757162535,0.9967788003808314,0.9966958239242041,433.295129776001,4.393789529800415,437.6889193058014
Random Forest Classifier (ProfWeight Top 5 Features),0.9535663281497937,0.9427957207042826,0.9535663281497937,0.9439986666063879,412.7010669708252,6.048320055007935,418.74938702583313
Random Forest Classifier (ProfWeight Top 10 Features),0.9580688670263409,0.9474730479400137,0.9580688670263409,0.9485544433285316,462.8047983646393,6.000740051269531,468.8055384159088
