Feature,Importance
Fwd IAT Mean,0.6291166639914578
Min Packet Length,0.4857790822221496
Bwd IAT Std,0.4286111652104506
Fwd IAT Total,0.24311035165676775
Flow IAT Std,0.1931857940909275
Bwd Packet Length Max,0.18188721143505937
Max Packet Length,0.18065873585304149
Active Min,0.10409810248649021
Average Packet Size,0.10276905867047981
Fwd Packets/s,0.09919511417623761
Total Fwd Packets,0.087959812655099
Down/Up Ratio,0.04419705099223514
Active Max,0.04214962167938807
Flow IAT Max,0.013979267182734456
Fwd PSH Flags,0.005894381325257547
Active Mean,0.0055140370848942855
Idle Std,0.004482766027321006
Subflow Bwd Packets,0.0
Subflow Fwd Packets,0.0
CWE Flag Count,0.0
RST Flag Count,0.0
SYN Flag Count,0.0
Fwd URG Flags,0.0
_full_model_,0.0
Subflow Fwd Bytes,0.0
Fwd Header Length.1,0.0
Avg Bwd Segment Size,0.0
Subflow Bwd Bytes,0.0
Avg Fwd Segment Size,0.0
ECE Flag Count,0.0
Bwd IAT Min,-0.00264947983683661
Fwd Packet Length Min,-0.014289459252973313
URG Flag Count,-0.014838300774210667
Bwd IAT Mean,-0.021764376839747968
Flow IAT Mean,-0.032497799540063155
Active Std,-0.055201347291462644
Bwd IAT Max,-0.06303366533489985
act_data_pkt_fwd,-0.09076972431213093
Bwd IAT Total,-0.12809088791405865
Bwd Header Length,-0.15415635905101965
Fwd IAT Min,-0.17154489119410143
FIN Flag Count,-0.19012016180309643
Bwd Packet Length Min,-0.19359959928726977
Idle Max,-0.19477803050676734
Packet Length Variance,-0.21233790694715926
PSH Flag Count,-0.24124412932375694
ACK Flag Count,-0.24357025402833432
Bwd Packet Length Mean,-0.31027015950368575
Idle Mean,-0.32315885909650255
Fwd IAT Max,-0.33363195219588426
Total Backward Packets,-0.3550926664227162
Flow Duration,-0.414722430983789
Fwd Packet Length Mean,-0.4655243877398497
Fwd Packet Length Max,-0.5039807003041251
Idle Min,-0.5298959400054702
Packet Length Mean,-0.5319249529006255
Flow IAT Min,-0.5666468258691651
Packet Length Std,-0.6112636931413059
Bwd Packets/s,-0.6115693784074657
min_seg_size_forward,-0.6746138737291104
Fwd Packet Length Std,-0.7383001042923262
Fwd Header Length,-0.7425999277960836
Init_Win_bytes_backward,-0.8300195210574629
Destination Port,-1.0423600643598672
Total Length of Fwd Packets,-1.2061686886204153
Bwd Packet Length Std,-1.2767218140324674
Fwd IAT Std,-1.6857305681149115
Init_Win_bytes_forward,-1.811438048006758
Total Length of Bwd Packets,-2.323638175196209
