Feature,LOCO Importance
Init_Win_bytes_forward,0.0005097593122811439
Destination Port,0.0001745479357226909
Flow IAT Min,8.826571749609435e-05
Fwd IAT Min,7.140597370469681e-05
Init_Win_bytes_backward,2.7273114956649636e-05
Bwd IAT Std,2.4297866052291894e-05
Fwd IAT Std,2.2810241600113024e-05
Fwd IAT Total,1.7355618608716483e-05
Flow IAT Std,1.685974379139754e-05
Fwd Packet Length Max,1.537211933921867e-05
Fwd Packets/s,1.4876244521788706e-05
FIN Flag Count,1.4380369704358742e-05
Fwd Packet Length Min,1.1900995617430965e-05
Flow Duration,1.1405120800001e-05
Fwd IAT Mean,1.1405120800001e-05
Bwd Packet Length Min,1.0413371165252094e-05
Bwd Packet Length Max,1.0413371165252094e-05
Packet Length Mean,9.421621530392166e-06
Average Packet Size,9.421621530392166e-06
Bwd IAT Mean,9.421621530392166e-06
Flow IAT Max,8.925746713073224e-06
Packet Length Variance,8.925746713073224e-06
Fwd IAT Max,8.42987189564326e-06
ACK Flag Count,8.42987189564326e-06
Idle Std,7.933997078213295e-06
Bwd Header Length,7.933997078213295e-06
Active Max,6.4463726260344245e-06
URG Flag Count,5.9504978087154825e-06
Idle Mean,5.9504978087154825e-06
Idle Max,5.454622991285518e-06
Bwd Packets/s,5.454622991285518e-06
Down/Up Ratio,5.454622991285518e-06
act_data_pkt_fwd,4.958748173855554e-06
Bwd IAT Min,4.958748173855554e-06
Min Packet Length,4.462873356536612e-06
Bwd IAT Total,3.9669985391066476e-06
Fwd Header Length,3.4711237216766833e-06
Flow IAT Mean,3.4711237216766833e-06
Active Std,2.9752489043577413e-06
Bwd IAT Max,2.479374086927777e-06
Total Length of Bwd Packets,2.479374086927777e-06
Idle Min,2.479374086927777e-06
PSH Flag Count,9.917496347489063e-07
Active Mean,9.917496347489063e-07
Fwd Packet Length Std,4.95874817318942e-07
Bwd Packet Length Mean,4.95874817318942e-07
Bwd Packet Length Std,4.95874817318942e-07
Total Backward Packets,0.0
Total Length of Fwd Packets,0.0
Fwd PSH Flags,0.0
Total Fwd Packets,0.0
Fwd Packet Length Mean,0.0
Avg Bwd Segment Size,0.0
Avg Fwd Segment Size,0.0
ECE Flag Count,0.0
Fwd URG Flags,0.0
SYN Flag Count,0.0
Packet Length Std,0.0
RST Flag Count,0.0
CWE Flag Count,0.0
Subflow Fwd Packets,0.0
Subflow Fwd Bytes,0.0
Subflow Bwd Packets,0.0
Fwd Header Length.1,0.0
Subflow Bwd Bytes,0.0
Active Min,-4.958748174299643e-07
min_seg_size_forward,-1.4876244521788706e-06
Max Packet Length,-2.9752489043577413e-06
