Feature,Importance
Flow Duration,16595343.147875192
Fwd IAT Total,16254623.28767618
Bwd IAT Total,11112708.953697857
Flow IAT Max,10297761.835580992
Fwd IAT Max,10140542.468349999
Idle Max,9761094.970186338
Idle Mean,9335828.993446594
Idle Min,8892239.94063107
Bwd IAT Max,5258112.163616464
Fwd IAT Std,3665299.418997495
Flow IAT Std,3277609.6124705286
Fwd IAT Mean,2921597.7162119863
Bwd IAT Mean,2029853.623410632
Bwd IAT Std,1666258.841142888
Flow IAT Mean,1448061.5075289146
Fwd IAT Min,1139517.6037696009
Bwd IAT Min,1089283.495638972
Idle Std,564245.9288780533
Packet Length Variance,545569.1222935643
Active Max,172448.06190625927
Flow IAT Min,172070.6368821525
Active Mean,91788.07228133801
Active Min,65613.77846792153
Active Std,46273.87108351964
Fwd Packets/s,40826.98717810331
Total Length of Bwd Packets,19043.010139113652
Subflow Bwd Bytes,19042.945514725394
Fwd Header Length.1,16213.190456461723
Fwd Header Length,16213.190456461723
Destination Port,8679.242403338836
Init_Win_bytes_forward,7270.243767709069
Bwd Packets/s,6505.123882058541
min_seg_size_forward,2679.737462168571
Bwd Header Length,2668.92482982842
Init_Win_bytes_backward,2226.3905140196925
Max Packet Length,1063.638599001898
Bwd Packet Length Max,975.1337281431055
Subflow Fwd Bytes,606.4190572122732
Total Length of Fwd Packets,606.4190572122732
Bwd Packet Length Std,376.5699193039962
Avg Bwd Segment Size,340.6521270687622
Bwd Packet Length Mean,340.6521270687493
Packet Length Std,330.1447948825062
Fwd Packet Length Max,231.07839685367736
Average Packet Size,212.39183954508988
Packet Length Mean,190.61912673787037
Fwd Packet Length Std,77.25823460574613
Fwd Packet Length Mean,63.43286540962403
Avg Fwd Segment Size,63.43286540962403
Bwd Packet Length Min,43.16890181805559
Fwd Packet Length Min,19.21323326254123
Min Packet Length,16.840428925132823
Total Backward Packets,11.968165691042644
Subflow Bwd Packets,11.968165691042644
Total Fwd Packets,10.574914292039002
Subflow Fwd Packets,10.574914292039002
act_data_pkt_fwd,6.154544842745666
Down/Up Ratio,0.6995655990990819
ACK Flag Count,0.3115881234425307
PSH Flag Count,0.29701444672523347
URG Flag Count,0.1013502291318107
Fwd PSH Flags,0.0485951988962048
SYN Flag Count,0.0485951988962048
FIN Flag Count,0.03208797351370357
ECE Flag Count,0.0002781845727143123
RST Flag Count,0.0002766969487350331
Fwd URG Flags,3.368685762512841e-05
CWE Flag Count,3.368685762512841e-05
